,lon,lat,alt,NAME,population,area,density
304,120.6,23.871,46,彰化縣田中鎮,41890,34.6056,1210
305,120.6,23.881,44,彰化縣田中鎮,41890,34.6056,1210
306,120.61,23.871,105,彰化縣田中鎮,41890,34.6056,1210
307,120.61,23.841,180,彰化縣田中鎮,41890,34.6056,1210
308,120.59,23.871,44,彰化縣田中鎮,41890,34.6056,1210
309,120.59,23.861,47,彰化縣田中鎮,41890,34.6056,1210
310,120.58,23.831,54,彰化縣田中鎮,41890,34.6056,1210
311,120.6,23.841,57,彰化縣田中鎮,41890,34.6056,1210
312,120.61,23.851,122,彰化縣田中鎮,41890,34.6056,1210
313,120.56,23.871,37,彰化縣田中鎮,41890,34.6056,1210
314,120.57,23.881,39,彰化縣田中鎮,41890,34.6056,1210
315,120.6,23.821,67,彰化縣田中鎮,41890,34.6056,1210
316,120.58,23.871,42,彰化縣田中鎮,41890,34.6056,1210
317,120.57,23.871,41,彰化縣田中鎮,41890,34.6056,1210
318,120.58,23.841,50,彰化縣田中鎮,41890,34.6056,1210
319,120.59,23.831,58,彰化縣田中鎮,41890,34.6056,1210
320,120.57,23.841,47,彰化縣田中鎮,41890,34.6056,1210
321,120.57,23.861,41,彰化縣田中鎮,41890,34.6056,1210
322,120.6,23.851,52,彰化縣田中鎮,41890,34.6056,1210
323,120.61,23.861,111,彰化縣田中鎮,41890,34.6056,1210
324,120.59,23.851,50,彰化縣田中鎮,41890,34.6056,1210
325,120.58,23.861,45,彰化縣田中鎮,41890,34.6056,1210
326,120.62,23.851,279,彰化縣田中鎮,41890,34.6056,1210
327,120.6,23.861,50,彰化縣田中鎮,41890,34.6056,1210
328,120.58,23.851,46,彰化縣田中鎮,41890,34.6056,1210
329,120.62,23.891,234,彰化縣社頭鄉,43144,36.1449,1194
330,120.63,23.891,353,彰化縣社頭鄉,43144,36.1449,1194
331,120.63,23.901,328,彰化縣社頭鄉,43144,36.1449,1194
332,120.61,23.911,52,彰化縣社頭鄉,43144,36.1449,1194
333,120.59,23.881,41,彰化縣社頭鄉,43144,36.1449,1194
334,120.62,23.901,181,彰化縣社頭鄉,43144,36.1449,1194
335,120.63,23.921,319,彰化縣社頭鄉,43144,36.1449,1194
336,120.6,23.901,39,彰化縣社頭鄉,43144,36.1449,1194
337,120.62,23.881,201,彰化縣社頭鄉,43144,36.1449,1194
338,120.6,23.921,34,彰化縣社頭鄉,43144,36.1449,1194
339,120.59,23.891,38,彰化縣社頭鄉,43144,36.1449,1194
